Wavelength	Transit Depth
(meters)	(percent)
2.997692e-07	1.166169e-02
3.000686e-07	1.165813e-02
3.003682e-07	1.165458e-02
3.006681e-07	1.165102e-02
3.009683e-07	1.164747e-02
3.012689e-07	1.164391e-02
3.015697e-07	1.164036e-02
3.018708e-07	1.163681e-02
3.021723e-07	1.163326e-02
3.024740e-07	1.162970e-02
3.027760e-07	1.162615e-02
3.030783e-07	1.162260e-02
3.033810e-07	1.161905e-02
3.036839e-07	1.161551e-02
3.039872e-07	1.161196e-02
3.042907e-07	1.160841e-02
3.045945e-07	1.160486e-02
3.048987e-07	1.160131e-02
3.052031e-07	1.159777e-02
3.055079e-07	1.159422e-02
3.058130e-07	1.159068e-02
3.061183e-07	1.158713e-02
3.064240e-07	1.158359e-02
3.067300e-07	1.158004e-02
3.070363e-07	1.157650e-02
3.073428e-07	1.157296e-02
3.076497e-07	1.156941e-02
3.079569e-07	1.156587e-02
3.082644e-07	1.156233e-02
3.085723e-07	1.155879e-02
3.088804e-07	1.155525e-02
3.091888e-07	1.155171e-02
3.094975e-07	1.154817e-02
3.098066e-07	1.154463e-02
3.101159e-07	1.154110e-02
3.104256e-07	1.153756e-02
3.107356e-07	1.153402e-02
3.110459e-07	1.153048e-02
3.113564e-07	1.152695e-02
3.116674e-07	1.152341e-02
3.119786e-07	1.151988e-02
3.122901e-07	1.151634e-02
3.126019e-07	1.151281e-02
3.129141e-07	1.150928e-02
3.132265e-07	1.150575e-02
3.135393e-07	1.150221e-02
3.138524e-07	1.149868e-02
3.141658e-07	1.149515e-02
3.144795e-07	1.149162e-02
3.147935e-07	1.148809e-02
3.151078e-07	1.148456e-02
3.154225e-07	1.148103e-02
3.157374e-07	1.147750e-02
3.160527e-07	1.147398e-02
3.163683e-07	1.147045e-02
3.166842e-07	1.146692e-02
3.170004e-07	1.146340e-02
3.173170e-07	1.145987e-02
3.176338e-07	1.145635e-02
3.179510e-07	1.145282e-02
3.182685e-07	1.144930e-02
3.185863e-07	1.144577e-02
3.189044e-07	1.144225e-02
3.192228e-07	1.143873e-02
3.195416e-07	1.143521e-02
3.198607e-07	1.143168e-02
3.201800e-07	1.142817e-02
3.204998e-07	1.142464e-02
3.208198e-07	1.142112e-02
3.211401e-07	1.141761e-02
3.214608e-07	1.141409e-02
3.217818e-07	1.141057e-02
3.221031e-07	1.140705e-02
3.224247e-07	1.140353e-02
3.227467e-07	1.140002e-02
3.230690e-07	1.139650e-02
3.233916e-07	1.139299e-02
3.237145e-07	1.138947e-02
3.240377e-07	1.138596e-02
3.243613e-07	1.138244e-02
3.246852e-07	1.137893e-02
3.250094e-07	1.137542e-02
3.253339e-07	1.137190e-02
