Wavelength	Transit Depth
(meters)	(percent)
2.997692e-07	2.183458e-04
3.000686e-07	2.180382e-04
3.003682e-07	2.177310e-04
3.006681e-07	2.174240e-04
3.009683e-07	2.171173e-04
3.012689e-07	2.168107e-04
3.015697e-07	2.165043e-04
3.018708e-07	2.161983e-04
3.021723e-07	2.158923e-04
3.024740e-07	2.155867e-04
3.027760e-07	2.152813e-04
3.030783e-07	2.149761e-04
3.033810e-07	2.146711e-04
3.036839e-07	2.143663e-04
3.039872e-07	2.140617e-04
3.042907e-07	2.137575e-04
3.045945e-07	2.134534e-04
3.048987e-07	2.131495e-04
3.052031e-07	2.128460e-04
3.055079e-07	2.125425e-04
3.058130e-07	2.122393e-04
3.061183e-07	2.119364e-04
3.064240e-07	2.116337e-04
3.067300e-07	2.113311e-04
3.070363e-07	2.110288e-04
3.073428e-07	2.107269e-04
3.076497e-07	2.104250e-04
3.079569e-07	2.101234e-04
3.082644e-07	2.098221e-04
3.085723e-07	2.095208e-04
3.088804e-07	2.092200e-04
3.091888e-07	2.089193e-04
3.094975e-07	2.086189e-04
3.098066e-07	2.083186e-04
3.101159e-07	2.080186e-04
3.104256e-07	2.077188e-04
3.107356e-07	2.074192e-04
3.110459e-07	2.071198e-04
3.113564e-07	2.068208e-04
3.116674e-07	2.065218e-04
3.119786e-07	2.062232e-04
3.122901e-07	2.059248e-04
3.126019e-07	2.056266e-04
3.129141e-07	2.053286e-04
3.132265e-07	2.050309e-04
3.135393e-07	2.047333e-04
3.138524e-07	2.044360e-04
3.141658e-07	2.041389e-04
3.144795e-07	2.038421e-04
3.147935e-07	2.035455e-04
3.151078e-07	2.032491e-04
3.154225e-07	2.029529e-04
3.157374e-07	2.026570e-04
3.160527e-07	2.023613e-04
3.163683e-07	2.020658e-04
3.166842e-07	2.017706e-04
3.170004e-07	2.014756e-04
3.173170e-07	2.011807e-04
3.176338e-07	2.008862e-04
3.179510e-07	2.005918e-04
3.182685e-07	2.002977e-04
3.185863e-07	2.000038e-04
3.189044e-07	1.997101e-04
3.192228e-07	1.994167e-04
3.195416e-07	1.991235e-04
3.198607e-07	1.988305e-04
3.201800e-07	1.985378e-04
3.204998e-07	1.982452e-04
3.208198e-07	1.979529e-04
3.211401e-07	1.976609e-04
3.214608e-07	1.973690e-04
3.217818e-07	1.970774e-04
3.221031e-07	1.967860e-04
3.224247e-07	1.964949e-04
3.227467e-07	1.962039e-04
3.230690e-07	1.959132e-04
3.233916e-07	1.956227e-04
3.237145e-07	1.953325e-04
3.240377e-07	1.950425e-04
3.243613e-07	1.947527e-04
3.246852e-07	1.944631e-04
3.250094e-07	1.941738e-04
3.253339e-07	1.938848e-04
3.256588e-07	1.935958e-04
3.259840e-07	1.933072e-04
3.263095e-07	1.930188e-04
3.266353e-07	1.927306e-04
3.269615e-07	1.924426e-04
3.272879e-07	1.921550e-04
3.276147e-07	1.918675e-04
3.279419e-07	1.915802e-04
3.282693e-07	1.912932e-04
3.285971e-07	1.910064e-04
3.289253e-07	1.907197e-04
3.292537e-07	1.904334e-04
3.295825e-07	1.901473e-04
3.299116e-07	1.898614e-04
3.302410e-07	1.895757e-04
3.305708e-07	1.892903e-04
3.309008e-07	1.890051e-04
3.312313e-07	1.887201e-04
3.315620e-07	1.884354e-04
3.318931e-07	1.881509e-04
3.322245e-07	1.878666e-04
3.325562e-07	1.875826e-04
3.328883e-07	1.872988e-04
3.332207e-07	1.870152e-04
3.335534e-07	1.867319e-04
3.338865e-07	1.864487e-04
3.342199e-07	1.861658e-04
3.345536e-07	1.858832e-04
3.348877e-07	1.856007e-04
3.352221e-07	1.853185e-04
3.355568e-07	1.850366e-04
3.358919e-07	1.847548e-04
3.362273e-07	1.844733e-04
3.365630e-07	1.841921e-04
3.368991e-07	1.839111e-04
3.372355e-07	1.836303e-04
3.375722e-07	1.833497e-04
3.379093e-07	1.830694e-04
3.382467e-07	1.827893e-04
3.385845e-07	1.825094e-04
3.389226e-07	1.822297e-04
3.392610e-07	1.819504e-04
3.395998e-07	1.816712e-04
3.399389e-07	1.813922e-04
3.402783e-07	1.811136e-04
3.406181e-07	1.808351e-04
3.409582e-07	1.805569e-04
3.412987e-07	1.802788e-04
